交易ID,買入日期,代號,買入價,股數,手續費(買),總成本,設定停損,設定目標,賣出價,賣出日期,手續費(賣),證交稅,總收入,淨損益,報酬率%,狀態,持有天數,策略,市場環境,出場原因
2025-12-26_2357.TW,2025-12-26,2357.TW,551.0,36,,19841,523.45,633.65,523.45,2026-01-09,,,,-1057,-5.33,已平倉,,3.熊市抄底,震盪 (Flat)|美股助漲,❌ 觸價停損
2025-12-26_2368.TW,2025-12-26,2368.TW,697.0,28,,19521,662.15,801.55,662.15,2026-01-02,,,,-1040,-5.33,已平倉,,4.主力籌碼,震盪 (Flat)|美股助漲,❌ 觸價停損
2025-12-26_2603.TW,2025-12-26,2603.TW,191.0,104,,19869,181.45,219.65,0.0,-,,,,0,0.0,持倉,,4.主力籌碼,震盪 (Flat)|美股助漲,-
2025-12-26_6235.TW,2025-12-26,6235.TW,65.0,307,,19960,61.75,74.75,61.75,2026-01-09,,,,-1063,-5.33,已平倉,,4.主力籌碼,震盪 (Flat)|美股助漲,❌ 觸價停損
2025-12-26_3008.TW,2025-12-26,3008.TW,2385.0,8,,19085,2265.75,2742.75,2265.75,2025-12-26,,,,-1018,-5.33,已平倉,,4.主力籌碼,震盪 (Flat)|美股助漲,❌ 觸價停損
2025-12-26_3008.TW,2025-12-26,3008.TW,2385.0,8,,19085,2265.75,2742.75,2265.75,2025-12-26,,,,-1018,-5.33,已平倉,,4.主力籌碼,震盪 (Flat)|美股助漲,❌ 觸價停損
2025-12-26_3008.TW,2025-12-26,3008.TW,2385.0,8,,19085,2265.75,2742.75,2265.75,2025-12-26,,,,-1018,-5.33,已平倉,,4.主力籌碼,多頭|美股助漲,❌ 觸價停損
2025-12-26_3008.TW,2025-12-26,3008.TW,2385.0,8,,19085,2265.75,2742.75,2265.75,2025-12-26,,,,-1018,-5.33,已平倉,,4.主力籌碼,多頭|美股助漲,❌ 觸價停損
2025-12-26_3008.TW,2025-12-26,3008.TW,2385.0,8,,19085,2265.75,2742.75,0.0,-,,,,0,0.0,持倉,,4.主力籌碼,多頭|美股助漲,-
2026-01-02_2454.TW,2026-01-02,2454.TW,1485.0,13,,19310,1410.75,1707.75,1707.75,2026-01-26,,,,2818,14.6,已平倉,,4.主力籌碼,多頭|中性,✅ 獲利達標
2026-01-09_2382.TW,2026-01-09,2382.TW,281.0,71,,19956,266.95,323.15,0.0,-,,,,0,0.0,持倉,,4.主力籌碼,多頭|中性,-
2026-01-09_5269.TW,2026-01-09,5269.TW,1395.0,14,,19535,1325.25,1604.25,1325.25,2026-01-09,,,,-1041,-5.33,已平倉,,4.主力籌碼,多頭|中性,❌ 觸價停損
2026-01-09_2303.TW,2026-01-09,2303.TW,55.09999847412109,362,,19951,52.34,63.36,63.36,2026-01-20,,,,2911,14.59,已平倉,,4.主力籌碼,多頭|美股助漲,✅ 獲利達標
2026-01-20_3037.TW,2026-01-20,3037.TW,313.5,63,,19755,297.82,360.52,360.52,2026-01-27,,,,2883,14.6,已平倉,,4.主力籌碼,多頭|中性,✅ 獲利達標
2026-01-26_2454.TW,2026-01-26,2454.TW,1750.0,11,,19255,1662.5,2012.5,0.0,-,,,,0,0.0,持倉,,4.主力籌碼,多頭|中性,-
2026-01-27_2330.TW,2026-01-27,2330.TW,1775.0,11,,19530,1686.25,2041.25,0.0,-,,,,0,0.0,持倉,,2.日檢趨勢,多頭|中性,-
